GEOID10,votes_dem,votes_gop
55085971002,677.7027335,707.9555809
55085970102,1052.367659,1099.345658
55085970800,693.0721151,724.0110562
55085971400,1063.677204,1111.160064
55085971100,581.7165954,607.6845936
55085970900,685.2424301,715.8318518
55085971500,1339.746097,1399.552753
55085970500,510.6694539,533.465887
55085970400,877.5046947,916.6767598
55085971300,543.7281238,568.0003056
55023960500,553.7291516,367.0761836
55023960200,636.2053593,421.7510214
55023960400,897.7965633,595.1641432
55023960300,690.3564047,457.6486422
55023960100,778.1088681,515.8211968
55023960600,1065.803653,706.5388128
55011960200,761.7649224,715.4485906
55011960400,661.4220946,621.2067417
55011960100,716.059027,672.5216751
55011960300,568.1715611,533.625966
55011960500,861.5823949,809.1970266
55095960600,533.1201448,640.2850356
55095961000,1083.980636,1301.876485
55095961100,888.6093881,1067.232779
